Product,Price,Category,Shades,Description
Zaron Healthy Glow Liquid Foundation,10990,Foundation,"FZ10,FZ15,FZ20,FZ25,Z35,FZ40.FZ45","Healthy natural glow: Provides a radiant finish.  Full coverage: Concealing foundation for a flawless look.  Luxurious, seamless, and comfortable matte cover: Ensures a smooth and non-cakey finish.  All-day wear: Long-lasting formula.  Oil control: Helps manage oil production for a matte finish.  Flawless natural finish: Blends well with the skin for a natural appearance. This foundation is designed to provide a full coverage look while maintaining a natural, glowing finish, suitable for all-day wear. AVAILABLE IN 8 SHADES"
Zaron Mattifying powder,9300,Powder,"ZZ10,ZZ15,ZZ20,ZZ25,ZZ30,ZZ35,ZZ60,ZZ65","Rich full coverage, Blurs out imperfections, All-day wear, Flawless finish, Buildable formula"
Zaron Maxi Blend compact powder,9300,Powder,"XZ05,XZ10,XZ15,XZ20,XZ30,XZ35","Rich full coverage, Blurs out imperfections, All-day wear, Flawless finish, Buildable formula"
Zaron 5 in 1 Facelift,10750,,"Shell,Yolk,Dim,Toffe,Coffee,Neutral","A weightless, easily blendable,makeup product which acts as a concealer,contur,highlighter. Infused with vitamin c and hyaluronic acid that hydrates your skin as well as blurs our fine lines and wrinkles."
Zaron Face Primer,10150,,,
Zaron Hydrating Serum,11550,,,
Zaron Bronzer Palette(Gold Crush),7220,,,
Zaron Perfect Finish,9450,,,"Exclusive Formular that extends makeup wear, hydrating formular, all-day wear, refreshing cool feel. Can be used before, after and during makeup, can also be used without makeup for hydrating benefits."
Zaron Oil Block Mattifier,10000,,,
Zaron Brown Skin Compact Powder,11650,Powder,"Cocoa,Biscuit,Brownie,Latte,Almond,Nog,Sand,Ray,Tan,Brick,Dawn","A luxurious range that suits a wide range of diverse skintones, and undertones, it has a much improved formular that comes in more diverse shades, sweat and humidty resistant. Transfer proof and leaves a glowy matte finish"
Zaron Brown Skin Liquid Foundation,12620,Foundation,"Cottage,Chedder,Sun,Canvass,Wood,Toasted,Khaki,Choc,Dusk,Nut,Leather,Culture","A luxurious range that suits a wide range of diverse skintones, and undertones, it has a much improved formular that comes in more diverse shades, sweat and humidty resistant. Transfer proof and leaves a glowy matte finish"
Zaron Veil Highlighter/ Setting Powder,8720,Powder,"Cruise,Charm,Clear,Crystal",
Zaron Cheeky Liquid Blush,6180,,,
Zaron Chisel'D Palette,12460,,"Storm,Tornado,Dew,Hail",
Zaron Liquid Concealer/highlighter,6700,Concealer,,
Zaron Prime and pop eyeshadow,7750,Eyeshadow,,
Zaron 9-in-1 eyeshadow palette,4720,Eyeshadow,,
Zaron Axe liquid eyeliner,5920,Eyeliner,,
Zaron Foxy Duo eyeliner,10780,Eyeliner,,
Zaron Fleek Gel brow pencil,6700,Pencil,,
Zaron Smoke gel eyeliner,6080,Eyeliner,,
Zaron Eye'Conic Gel Eyeliner,4720,Eyeliner,"Robotic,Techie,Cyber,Pixel",
Zaron Volumizing Mascara,6880,Mascara,,
Zaron Lengthening mascara,7100,Mascara,,
Zaron 4-in-1 Wink Mascara,7550,Mascara,,
Zaron Flash Mascara,7880,Mascara,,
Zaron Noir Magic Eyeliner and Mascara Duo,11320,Mascara,,
Zaron Felt-Tip Pen eyeliner,5920,Eyeliner,,
Zaron Eye Pencil,2800,Pencil,,
Zaron Liquid Liner,4850,Eyeliner,,
Zaron 3D Lashes Single,2580,Lashes,,
Zaron 3D Lashes Pach,10660,Lashes,,
Zaron Lashes,2520,,,
Zaron Lash Glue,4620,,,
Zaron Matte Eyebrow Pencil,2580,Pencil,,
Zaron New Gel-Eyeliner,5850,Eyeliner,,
Zaron Brow Bang,5400,,,
Zaron Max Sheen Lipgloss,5530,Lipgloss,"Missy, Blush,Cutie",
Zaron New Luxurious Lipgloss,5530,Lipgloss,"SugarPlum,Vamped,24 Karat","Long-lasting formula ? ?Pigment-rich with the promise of a healthy pout ? ?Softens and conditions lips ? ?All-day gloss wear ? ?Available in 24 Karat, Sugarplum, and Vamped"
Zaron Lip Pencil,2480,Pencil,"Tamed,Bold,Red vines,Wild vine, Cappuccino,Vivid,Claypot","This pencil glides on effortlessly and is highly pigmented, available in 9 exciting shades for creating natural to bold lines on the lips. The LIP PENCIL provides a smooth application that delivers rich color and long-lasting results. Its highly pigmented formula allows for versatile lip looks, from natural enhancements to bold statements. Available in shades such as Cappuccino, Wild Vines, Red Vines, Claypot, Bold, Vivid, Tamed, this pencil complements various skin tones and preferences, ensuring you find the perfect match for any occasion."
Zaron Matte Lipstick,5550,Lipstick,,
Zaron Matte Lip Fix,5550,Lipstain,"Turnt,Burnt,Vavavoom,Clay,Shady,Sandy,Stone,Blondie,Magenta,Twirl,Mauve","Achieve a flawless matte finish with our MATTE LIP FIX. This innovative formula offers long-lasting color that stays put all day without smudging or transferring. Perfect for any occasion, it provides a bold, matte look that lasts from morning to night. With an exciting shade range, you can easily find the perfect color to match your style and mood."
Zaron Lipbalm,3900,LipBalm,"Blush Crush,Kutie Kiwi, Lalalav,Bumble Bee,Pinkerest","Lip Hydrating Therapy is a luscious formula that glides on easily and instantly melts into your lips, thereby keeping them soft and moisturized all day. It relieves dry, dull and cracked lips."
Zaron Multipurpose Brush,5720,Brush,,
Zaron My D'luxe Brush Set,15480,Brush,,
Zaron Makeup Sponge(Beauty Blender),2720,,,
Zaron Contour Brush,7200,Brush,,
Zaron Foundation Brush,7750,Brush,,
Zaron Powder Brush,7750,Brush,,
Sharpener,1240,,,
Zaron Wipes,3060,,,
Zaron Tote Bag,4950,,,
Skin By Zaron Tote Bag,4950,,,
Zaron Yellow Purse,4950,,,
Zaron Pink Purse,4950,,,
Zaron Sheer Lip Gloss,2800,Lipgloss,"Sweet 16,Bella,Glass, Flawless,Read My Lips,Coco",Exciting mini-sized XOXO lip gloss ? ?Suitable for teenagers and adults ? ?Subtle wear leaving a beautiful glossy texture ? ?Doe-foot applicator
Zaron Vitamin C Body Lotion,16780,Body Lotion,,"Vitamin c body lotion is formulated to hydrate, fade dark spots and blemishes, and reduce the sppearance of wrinkles. Leaving your skin bright, smooth and youthful."
Glow Therapy Body Lotion,15800,Body Lotion,,"The Skin Glow Therapy Ultra Moisturizing Body Lotion is a lightweight, healing, non-greasy formula designed to restore moisture and eliminate dryness, revealing smooth, supple, and glowing skin."
Sun Protection Day Cream,14560,Face Cream,,"The Sun Protection Day Cream is infused with Vitamin E and Collagen to rejuvenate, hydrate, and strengthen your skin, revealing a supple and healthy complexion."
Vitamin C Body Wash,12850,Body Wash,,"A soothing creamy formula that cleanses, brightens and moisturises. Contains active ingredients that exfoliates and moisturises the skin, taking away dullness and leaving skin smoother, brighter, nourished and healthier- looking."
Vitamin C Face Cream,16600,Face Cream,,
Papaya Body Wash,12120,Body Wash,,"The Papaya Brightening Body Wash is a soothing, creamy formular that cleanses, moisturizes and softens the skin. Enriched with papaya, tea tree oil, salicylic acid, niacinamide and aloe vera. It brightens rejuvinates and deeply cleanses, revealing smooth, supples and hydrated skin."
Sun Block SPF50,14880,,,"A broad spectrum sunscreen with a gel lotion formular suitle for body and face. This fast absorbing sunscreen, leaves no white cast and provides robust protection against sunburn, skin cancer and pre-mature skin aging caused by sun."
Night Glow Plus Face Cream,11780,Face Cream,,"Achieve a radiant, youthful complexion with SKIN BY ZARON Night Glow Plus. This advanced night cream is specially formulated for all skin types, working overnight to lighten and improve overall skin texture. With a lightweight, non-greasy formula, it targets uneven skin tone and reduces hyperpigmentation, ensuring you wake up to healthy-looking, glowing skin."
Hydrating and Exfoliating Glow Plus Face Wash,10350,Face Wash,,"Brightening & Exfoliating Glow Face Wash is designed to brighten and even out skin tone. It contains Glycolic Acid to minimize the appearance of pores, fine lines, and wrinkles, and Citric Acid to enhance skin's radiance, revealing perfectly radiant skin."
Brightening Toner,12850,,,"Ultimate Glow Brightening Toner gently exfoliates the skin, resulting in a brighter, fresher, and more radiant complexion. Enriched with Glycolic Acid to minimize the appearance of pores and wrinkles, and Alpha Arbutin for its brightening qualities, this toner soothes and restores pH balance, revealing hydrated and healthier-looking skin."
Herbal + Oil infused Micellar Water,11780,,,"Miceller Cleansing water is formulated for removing makeup and cleansing dirt and impurities from the skin, leaving it refreshed and moisturized. It effectively dissolves makeup without harsh rubbing making it gentle enough for sensitive skin. For desired results use consistently."
Skin Regenerating and Hydrating Serum,11550,Serum,,"The Skin by Zaron Skin Regenerating Hydrating Serum is a powerful hydrating serum formulated with a blend of humectants, emollients, and plant extracts."
Hyaluronic Acid Serum,11380,Serum,,"2% Hyaluronic Acid Serum, a water-light formula designed to draw hydration deep into your skin, leaving it plump, soft, and firm. With regular use, you'll notice a reduction in the appearance of fine lines and a more youthful glow."
Niacinamide Serum,11680,Serum,,"Transform your skin with our 10% Niacinamide serum. This lightweight powerful formula is designed to control excess sebum production, reduce blemishes, minimize enlarged pores, leaving you with smoother, brighter and more even complextiones skin."
Alpha Arbutin Serum,11960,Serum,,"Experience and naturally brighter complection with our 2% alpha arbutin serum, This lightweight, powerful formula is designed to fade the appearance of age spots, acne scars, hyper pigmentation and sun damage, promoting an even skin tone and radiant glow."
Retinol Serum,11380,Serum,,"Experience the transformative power of our 1& retinol serum, This gentle yet potent formulation targets signs of aging, wrinkles, fine line, dehydration, enlarged pores, hyper pigmentation and acne. Promoting a smoother and more radiant complextion."
Vitamin C Serum,12350,Serum,,"Our Vitamin c serum is an antioxidant rich formula designed to prtect your skin from sun damage, sooth sunburns, fade hyper pigmentation, promote collagen production and hydrate your skin."
Moisture Boost,9880,,,"Moisture Boost is a hydrating spray formulated with Rose Water to moisturize and balance the skin, Glycerin to hydrate and soften, and Oat extract to soothe and strengthen the skin barrier"
Salicylic Acid,11860,,,"This leave in treatment is formulated to minimize acne, exfoliate the skin, reduce inflamation and reduce sebum production. It effectively removes excess oil, leaving the skin soft, even and healthier looking. Suitable for all skin types."
Glycolic Acid,14200,,,"The Glycolic Acid Toner is a fast-absorbing alpha hydroxy acid formula designed to exfoliate the skin, control acne, improve skin texture, and enhance overall skin radiance"
Hand Cream,4320,,,A luxurious blend designed for everyone. Deeply moisturizing hand cream.
Men Acne Wash,10280,Face Wash,,"The 2-in-1 Oil Control Acne Face Wash is specially formulated to effectively control acne-causing bacteria and excess oil, leaving the face fresh and rejuvenatet"
Papaya Body wash 100ML,3850,Body Wash,,
Vitamin C body lotion 100ML,4820,Body Lotion,,
Gentle Face Wash 100ML,4420,Face Wash,,A gentle face cleanser formulated to deeply rid the skin of dirt.
Travel Set Paper Box,11520,,,
Men 5 in 1 Body Wash,12850,Body Wash,,"Experience all-day freshness with our easy-rinse formula. This non-greasy, deeply cleansing, and refreshing body wash contains Activated Charcoal, Aloe Vera, Peppermint, Vitamin E, and Green Tea. Suitable for all skin types."
Men Face and Body Lotion,14400,Body Lotion,,"This non-greasy, fast-absorbing lotion is specially formulated with active ingredients like Vitamin C, Niacinamide, Collagen, and Vitamin E to provide all-day hydration. It is suitable for all skin types."
